                     Mode	            TimeStamp [s]	              All #pulses	                  #Pulses	                      #BD	         PS  Vin Marx [V]	        Pulse length [us]	               Delay [ns]	            Cur Level [A]	           Frequency [Hz]	      Temp. Charge switch	       Temp. Pulse switch	                FUG M [V]	                      BDR	       Output voltage [V]	                FUG P [V]	           Stop condition	                 Gap [um]	      MaxPulses per Cycle	              Safe pulses	    Gain Voltage at 0 [V]	   Gain after Timeout [V]	    Conditioning Goal [V]	                  Max BDR	               Cur M [mA]	         Pulses before BD	               PulsesMarx	                        S	             Target V [V]	                 Polarity	                Generator	          Temperature [K]	           CG Step Up [V]	         CG Step Down [V]	          Min Cycles @ GC	    Min Cycles Since Decr	          Max BDR to Incr	          Min BDR to Decr	          Pulse Window GC	              Cycles @ CG	        Cycles Since Decr	                   BDR GC	        Conditioning Mode
                        2	          3770037047.4547	                        1	                        1	                        1	                      493	                     1.00	                      600	                       29	                   760.00	                    24.70	                    26.60	                 494.8450	                 5.187E-6	                6900.2159	                 494.8298	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7300	                 1.000E-5	                     3.04	                        1	                        1	                        0	                     6900	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        0	                 3.799E-6	                        2
                        0	          3770037059.9667	                      101	                      100	                        1	                      105	                     1.00	                      600	                       10	                   760.00	                    24.10	                    27.00	                 105.2090	                 5.187E-6	                1380.1831	                 105.1961	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7300	                 1.000E-5	                     8.34	                        0	                      100	                        1	                     6886	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 3.799E-6	                        2
                        0	          3770037062.4085	                      201	                      200	                        1	                      202	                     1.00	                      600	                       17	                   760.00	                    24.10	                    27.00	                 202.3860	                 5.187E-6	                2756.9045	                 202.3574	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7300	                 1.000E-5	                    16.67	                        0	                      100	                        2	                     6886	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 3.799E-6	                        2
                        0	          3770037064.8456	                      301	                      300	                        1	                      275	                     1.00	                      600	                       21	                   760.00	                    24.10	                    27.00	                 275.2420	                 5.187E-6	                3789.0666	                 275.2285	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7300	                 1.000E-5	                    22.97	                        0	                      100	                        3	                     6886	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 3.799E-6	                        2
                        2	          3770037067.2850	                      305	                      304	                        2	                      330	                     1.00	                      600	                       23	                   760.00	                    24.00	                    27.10	                 329.8950	                 6.185E-6	                4563.3440	                 329.8817	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7300	                 1.000E-5	                     1.66	                      304	                        4	                        0	                     6886	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 3.899E-6	                        2
                        0	          3770037079.7913	                      405	                      100	                        2	                      104	                     1.00	                      600	                       10	                   760.00	                    23.50	                    27.40	                 105.0200	                 6.185E-6	                1377.5055	                 104.9984	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7300	                 1.000E-5	                     8.32	                        0	                      100	                        1	                     6872	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 3.899E-6	                        2
                        0	          3770037082.2309	                      505	                      200	                        2	                      202	                     1.00	                      600	                       17	                   760.00	                    23.50	                    27.50	                 201.9780	                 6.185E-6	                2751.1243	                 201.9622	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7300	                 1.000E-5	                    16.63	                        0	                      100	                        2	                     6872	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 3.899E-6	                        2
                        0	          3770037084.6703	                      605	                      300	                        2	                      274	                     1.00	                      600	                       21	                   760.00	                    23.40	                    27.50	                 274.7040	                 6.185E-6	                3781.4447	                 274.6850	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7300	                 1.000E-5	                    22.92	                        0	                      100	                        3	                     6872	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 3.899E-6	                        2
                        2	          3770037087.0878	                      622	                      317	                        3	                      328	                     1.00	                      600	                       23	                   760.00	                    23.40	                    27.60	                 329.2420	                 7.183E-6	                4554.0929	                 329.2271	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7300	                 1.000E-5	                     1.75	                      317	                       17	                        0	                     6872	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 3.998E-6	                        2
                        0	          3770037099.5929	                      722	                      100	                        3	                      104	                     1.00	                      600	                       10	                   770.00	                    23.10	                    27.80	                 104.8270	                 7.183E-6	                1374.7712	                 104.8008	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7300	                 1.000E-5	                     8.41	                        0	                      100	                        1	                     6858	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 3.998E-6	                        2
                        0	          3770037102.0345	                      822	                      200	                        3	                      202	                     1.00	                      600	                       17	                   770.00	                    23.10	                    27.80	                 201.5790	                 7.183E-6	                2745.4716	                 201.5669	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7300	                 1.000E-5	                    16.81	                        0	                      100	                        2	                     6858	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 3.998E-6	                        2
