V(1) [kV]	V(2) [kV]	V(3) [kV]	I(1) [mA]	I(2) [mA]	I(3) [mA]	MeanV [kV]	MeanI[mA]	SetV [kV]
0.0045117	0.0048611	0.0047751	-0.0004597	-0.0004625	-0.0004622	0.0047160	-0.0004615	0.0000000	3781698819.2696705
0.0931867	0.1046198	0.1057290	-0.0002006	-0.0004195	-0.0003935	0.1011785	-0.0003379	0.1000000	3781698820.4529438
0.1837003	0.2052826	0.2060784	0.0000001	-0.0004023	-0.0004318	0.1983538	-0.0002780	0.2000000	3781698821.6274071
0.2866654	0.3047665	0.3052377	-0.0000569	-0.0004156	-0.0004171	0.2988898	-0.0002965	0.3000000	3781698822.7909551
0.3913634	0.4047799	0.4049462	-0.0001209	-0.0004385	-0.0004227	0.4003632	-0.0003274	0.4000000	3781698823.9708185
0.4886049	0.5050150	0.5053754	-0.0000631	-0.0004409	-0.0004623	0.4996651	-0.0003221	0.5000000	3781698825.1181464
0.5879530	0.6051670	0.6058878	-0.0001438	-0.0004281	-0.0004641	0.5996693	-0.0003453	0.6000000	3781698826.2808561
0.6820343	0.7039053	0.7050418	-0.0000171	-0.0004460	-0.0004389	0.6969938	-0.0003007	0.7000000	3781698827.4495344
0.7871482	0.8038079	0.8045563	-0.0000711	-0.0003912	-0.0004208	0.7985041	-0.0002944	0.8000000	3781698828.6134825
0.8856647	0.9040707	0.9053736	-0.0000596	-0.0004266	-0.0004466	0.8983697	-0.0003109	0.9000000	3781698829.7692809
0.9824626	1.0041673	1.0055810	0.0000279	-0.0004178	-0.0004263	0.9974037	-0.0002720	1.0000000	3781698830.9159808
1.0856638	1.1042916	1.1050400	-0.0000320	-0.0004170	-0.0004376	1.0983318	-0.0002956	1.1000000	3781698832.0683050
1.1806045	1.2044159	1.2051920	0.0000553	-0.0003881	-0.0004554	1.1967375	-0.0002627	1.2000000	3781698833.2084751
1.2839166	1.3042907	1.3051223	-0.0000170	-0.0003969	-0.0004077	1.2977765	-0.0002739	1.3000000	3781698834.3562198
